DIA;Falencia;INDPRO;PERMIT;BAA;GS10;FEDFUNDS;PPIFGS;;;
01/01/1985;0;54,4371;1660;13,26;11,38;8,35;104;;;
01/02/1985;0;54,6664;1662;13,23;11,51;8,5;104,1;;;
01/03/1985;2;54,7455;1727;13,69;11,86;8,58;104,1;;;
01/04/1985;1;54,6042;1664;13,51;11,43;8,27;104,6;;;
01/05/1985;0;54,6782;1709;13,15;10,85;7,97;104,9;;;
01/06/1985;0;54,7159;1716;12,4;10,16;7,53;104,6;;;
01/07/1985;0;54,339;1697;12,43;10,31;7,88;104,7;;;
01/08/1985;2;54,5707;1808;12,5;10,33;7,9;104,5;;;
01/09/1985;1;54,8135;1916;12,48;10,37;7,92;103,8;;;
01/10/1985;1;54,5916;1743;12,36;10,24;7,99;104,9;;;
01/11/1985;1;54,7719;1692;11,99;9,78;8,05;105,5;;;
01/12/1985;0;55,3412;1794;11,58;9,26;8,27;106;;;
01/01/1986;2;55,6062;1847;11,44;9,19;8,14;105,5;;;
01/02/1986;1;55,2091;1767;11,11;8,7;7,86;104,1;;;
01/03/1986;2;54,8519;1780;10,5;7,78;7,48;102,8;;;
01/04/1986;0;54,8839;1858;10,19;7,3;6,99;102,3;;;
01/05/1986;0;54,9927;1797;10,29;7,71;6,85;102,8;;;
01/06/1986;0;54,8165;1790;10,34;7,8;6,92;103,1;;;
01/07/1986;1;55,1675;1780;10,16;7,3;6,56;102,3;;;
01/08/1986;1;55,0457;1726;10,18;7,17;6,17;102,7;;;
01/09/1986;1;55,1503;1686;10,2;7,45;5,89;102,9;;;
01/10/1986;1;55,3968;1675;10,24;7,43;5,85;103,5;;;
01/11/1986;1;55,6593;1644;10,07;7,25;6,04;103,4;;;
01/12/1986;1;56,1333;1903;9,97;7,11;6,91;103,6;;;
01/01/1987;0;55,9679;1690;9,72;7,08;6,43;104,1;;;
01/02/1987;1;56,6775;1689;9,65;7,25;6,1;104,4;;;
01/03/1987;1;56,7642;1704;9,61;7,25;6,13;104,5;;;
01/04/1987;2;57,1169;1601;10,04;8,02;6,37;105,1;;;
01/05/1987;0;57,4935;1500;10,51;8,61;6,85;105,2;;;
01/06/1987;1;57,7707;1522;10,52;8,4;6,73;105,5;;;
01/07/1987;0;58,1523;1516;10,61;8,45;6,58;105,7;;;
01/08/1987;2;58,6196;1511;10,8;8,76;6,73;105,9;;;
01/09/1987;0;58,7737;1514;11,31;9,42;7,22;106,2;;;
